,panel_name,loan_amount,originations,banksize
331,INTEGRITY FIRST FINANCIAL GR,22021,65,3
332,INTERCONTINENTAL CAPITAL GROUP,16677,53,3
333,INTERNATIONAL BK OF CHICAGO,333,1,3
334,JAMES B. NUTTER & COMPANY,367,2,3
335,JEANNE D'ARC CU,147701,423,2
336,JG WENTWORTH HOME LENDING LLC,9512,30,3
337,JPMORGAN CHASE BK NA,1880435,2866,1
338,JUSTICE FCU,525,3,3
339,KANSAS ST BK OF MANHATTAN,2145,6,3
340,"KELLER MORTGAGE, LLC",4434,9,3
341,KEYBANK NA,147552,13,2
342,KINECTA FCU,21070,72,3
343,KS STATEBANK,14190,31,3
344,LAFAYETTE FCU,240,1,3
345,LAKE SUNAPEE BK FSB,5784,12,3
346,"LAKEVIEW LOAN SERVICING, LLC",50990,168,2
347,LAND HOME FINANCIAL SERVICES,6152,19,3
348,"LEADER MORTGAGE COMPANY, INC.",97556,242,2
349,LEE BK,554,2,3
350,"LENDERLIVE NETWORK, INC.",229,1,3
351,LENOX FINANCIAL MORTGAGE CORP,3825,13,3
352,LEOMINSTER CU,1368,9,3
353,LIBERTY BAY CU,93462,387,2
354,LIBERTY HOME EQUITY SOLUTIONS,3482,18,3
355,"LIMA ONE CAPITAL, LLC",147,1,3
356,"LIVE WELL FINANCIAL, INC.",2152,10,3
357,LOANDEPOT.COM,1938749,5837,1
358,LOGIX FCU,335,1,3
359,"LONGBRIDGE FINANCIAL, LLC",2397,8,3
360,LOWELL FIVE CENT SVG BK,16895,34,3
361,LSI MORTGAGE PLUS,900,3,3
362,LUXURY MORTGAGE CORP.,23403,57,3
363,M&T RLTY CAP CORP,43466,7,2
364,MACHIAS SVG BK,795,2,3
365,MACKINAC SVG BK FSB,7658,25,3
366,MAGNOLIA BK,1844,6,3
367,MANSFIELD CO-OP BK,85857,200,2
368,MANUFACTURERS & TRADERS TC,162405,63,2
369,MARBLEHEAD BK,793,2,3
370,MARLBOROUGH SVG BK,8023,21,3
371,MARTHA'S VINEYARD SB,4250,12,3
372,MASS BAY CU,16970,346,3
373,MASSACHUSETTS INST TECH FC,3896,52,3
374,MASSMUTUAL FCU,1191,4,3
375,MAVERICK FUNDING,19783,71,3
